# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    1.402261261    5.523178718    5.523178695    3.358085956
    1.412270270    5.513117278    5.513117255    3.355981291
    1.422279279    5.503045799    5.503045776    3.353866913
    1.432288288    5.492964874    5.492964852    3.351742899
    1.442297297    5.482875088    5.482875065    3.349609328
    1.452306306    5.472777017    5.472776995    3.347466276
    1.462315315    5.462671232    5.462671210    3.345313820
    1.472324324    5.452558297    5.452558274    3.343152039
    1.482333333    5.442438766    5.442438744    3.340981008
    1.492342342    5.432313189    5.432313167    3.338800806
    1.502351351    5.422182107    5.422182085    3.336611509
    1.512360360    5.412046055    5.412046033    3.334413195
    1.522369369    5.401905561    5.401905539    3.332205940
    1.532378378    5.391761145    5.391761124    3.329989822
    1.542387387    5.381613321    5.381613299    3.327764918
    1.552396396    5.371462595    5.371462574    3.325531305
    1.562405405    5.361309468    5.361309447    3.323289059
    1.572414414    5.351154432    5.351154411    3.321038257
    1.582423423    5.340997974    5.340997952    3.318778975
    1.592432432    5.330840572    5.330840551    3.316511291
    1.602441441    5.320682700    5.320682679    3.314235280
    1.612450450    5.310524824    5.310524803    3.311951019
    1.622459459    5.300367403    5.300367382    3.309658585
    1.632468468    5.290210889    5.290210869    3.307358052
    1.642477477    5.280055730    5.280055710    3.305049498
    1.652486486    5.269902365    5.269902345    3.302732998
    1.662495495    5.259751228    5.259751207    3.300408628
    1.672504505    5.249602744    5.249602724    3.298076463
    1.682513514    5.239457335    5.239457315    3.295736579
    1.692522523    5.229315416    5.229315396    3.293389052
    1.702531532    5.219177393    5.219177374    3.291033955
    1.712540541    5.209043670    5.209043650    3.288671365
    1.722549550    5.198914642    5.198914622    3.286301357
    1.732558559    5.188790697    5.188790678    3.283924004
    1.742567568    5.178672221    5.178672201    3.281539382
    1.752576577    5.168559590    5.168559570    3.279147565
    1.762585586    5.158453176    5.158453157    3.276748627
    1.772594595    5.148353345    5.148353325    3.274342643
    1.782603604    5.138260456    5.138260437    3.271929685
    1.792612613    5.128174864    5.128174845    3.269509829
    1.802621622    5.118096917    5.118096898    3.267083146
    1.812630631    5.108026958    5.108026939    3.264649711
    1.822639640    5.097965323    5.097965304    3.262209597
    1.832648649    5.087912344    5.087912326    3.259762876
    1.842657658    5.077868348    5.077868329    3.257309622
    1.852666667    5.067833654    5.067833636    3.254849907
    1.862675676    5.057808578    5.057808559    3.252383803
    1.872684685    5.047793429    5.047793411    3.249911382
    1.882693694    5.037788512    5.037788493    3.247432716
    1.892702703    5.027794125    5.027794107    3.244947877
    1.902711712    5.017810563    5.017810545    3.242456937
    1.912720721    5.007838115    5.007838097    3.239959966
    1.922729730    4.997877064    4.997877046    3.237457036
    1.932738739    4.987927689    4.987927671    3.234948217
    1.942747748    4.977990263    4.977990246    3.232433580
    1.952756757    4.968065056    4.968065038    3.229913195
    1.962765766    4.958152330    4.958152313    3.227387132
