# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     9.527648031    9.527648024    9.893346702
    1.302171171    8.339197930    8.339197818    4.155118975
    1.312180180    8.371821647    8.371821534    4.157848094
    1.322189189    8.405301753    8.405301640    4.160605437
    1.332198198    8.439676892    8.439676778    4.163391213
    1.342207207    8.474988533    8.474988418    4.166205634
    1.352216216    8.511281247    8.511281132    4.169048917
    1.362225225    8.548603020    8.548602904    4.171921281
    1.372234234    8.587005601    8.587005484    4.174822951
    1.382243243    8.626544900    8.626544783    4.177754153
    1.392252252    8.667281434    8.667281317    4.180715119
    1.402261261    8.709280834    8.709280716    4.183706085
    1.412270270    8.752614416    8.752614297    4.186727290
    1.422279279    8.797359835    8.797359716    4.189778978
    1.432288288    8.843601831    8.843601710    4.192861397
    1.442297297    8.891433074    8.891432952    4.195974799
    1.452306306    8.940955138    8.940955016    4.199119442
    1.462315315    8.992279619    8.992279496    4.202295586
    1.472324324    9.045529410    9.045529286    4.205503498
    1.482333333    9.100840180    9.100840055    4.208743450
    1.492342342    9.158362068    9.158361942    4.212015716
    1.502351351    9.218261643    9.218261516    4.215320577
    1.512360360    9.280724161    9.280724033    4.218658320
    1.522369369    9.345956162    9.345956033    4.222029236
    1.532378378    9.414188464    9.414188334    4.225433621
    1.542387387    9.485679580    9.485679449    4.228871777
    1.552396396    9.560719610    9.560719477    4.232344012
    1.562405405    9.639634604    9.639634470    4.235850638
    1.572414414    9.722791385    9.722791249    4.239391977
    1.582423423    9.810602689    9.810602552    4.242968352
    1.592432432    9.903532363    9.903532225    4.246580095
    1.602441441   10.002100049   10.002099909    4.250227544
    1.612450450   10.106884286   10.106884145    4.253911043
    1.622459459   10.218522076   10.218521933    4.257630943
    1.632468468   10.337701353   10.337701208    4.261387603
    1.642477477   10.465140015   10.465139868    4.265181387
    1.652486486   10.601540157   10.601540007    4.269012666
    1.662495495   10.747497176   10.747497024    4.272881821
    1.672504505   10.903327370   10.903327216    4.276789238
    1.682513514   11.068748977   11.068748820    4.280735312
    1.692522523   11.242301249   11.242301089    4.284720446
    1.702531532   11.420301560   11.420301397    4.288745051
    1.712540541   11.595012660   11.595012494    4.292809546
    1.722549550   11.751551686   11.751551518    4.296914360
    1.732558559   11.863117990   11.863117819    4.301059929
    1.742567568   11.885060396   11.885060223    4.305246701
    1.752576577   11.751898219   11.751898046    4.309475129
    1.762585586   11.389447475   11.389447305    4.313745681
    1.772594595   10.759738828   10.759738662    4.318058831
    1.782603604    9.929278250    9.929278090    4.322415066
    1.792612613    9.082327014    9.082326860    4.326814881
    1.802621622    8.416731986    8.416731835    4.331258784
    1.812630631    8.024019089    8.024018939    4.335747294
    1.822639640    7.881239395    7.881239243    4.340280941
    1.832648649    7.916711769    7.916711613    4.344860268
    1.842657658    8.061907978    8.061907817    4.349485828
    1.852666667    8.268552165    8.268551998    4.354158190
    1.862675676    8.507217905    8.507217731    4.358877935
    1.872684685    8.761353838    8.761353657    4.363645656
    1.882693694    9.021996973    9.021996786    4.368461962
    1.892702703    9.284030608    9.284030415    4.373327476
    1.902711712    9.543514418    9.543514220    4.378242836
    1.912720721    9.795393392    9.795393193    4.383208697
    1.922729730   10.030913476   10.030913281    4.388225727
    1.932738739   10.234160397   10.234160217    4.393294613
    1.942747748   10.377600984   10.377600837    4.398416060
    1.952756757   10.418355331   10.418355243    4.403590789
    1.962765766   10.301805824   10.301805825    4.408819541
    1.972774775    9.985476342    9.985476445    4.414103075
    1.982783784    9.487651498    9.487651675    4.419442172
    1.992792793    8.920181217    8.920181399    4.424837631
    2.002801802    8.439467299    8.439467417    4.430290275
    2.012810811    8.146787194    8.146787219    4.435800949
    2.022819820    8.050349933    8.050349875    4.441370521
    2.032828829    8.103908462    8.103908346    4.446999884
    2.042837838    8.253390317    8.253390165    4.452689954
    2.052846847    8.457692440    8.457692267    4.458441677
    2.062855856    8.690891660    8.690891475    4.464256024
    2.072864865    8.938330800    8.938330608    4.470133996
    2.082873874    9.192459726    9.192459530    4.476076622
    2.092882883    9.449886258    9.449886059    4.482084966
    2.102891892    9.709549511    9.709549308    4.488160120
    2.112900901    9.971640373    9.971640168    4.494303214
    2.122909910   10.236952218   10.236952011    4.500515413
    2.132918919   10.506441379   10.506441168    4.506797919
    2.142927928   10.780837583   10.780837369    4.513151973
    2.152936937   11.060159879   11.060159660    4.519578858
    2.162945946   11.342963044   11.342962820    4.526079902
    2.172954955   11.625060421   11.625060191    4.532656475
    2.182963964   11.897351139   11.897350902    4.539310000
    2.192972973   12.142311384   12.142311137    4.546041947
    2.202981982   12.329062254   12.329061994    4.552853840
    2.212990991   12.408790423   12.408790146    4.559747261
    2.223000000   12.317598339   12.317598041    4.566723852
    2.233009009   12.001602695   12.001602374    4.573785315
    2.243018018   11.472407230   11.472406893    4.580933424
    2.253027027   10.851776957   10.851776616    4.588170020
    2.263036036   10.324816931   10.324816597    4.595497023
    2.273045045   10.021994173   10.021993849    4.602916430
    2.283054054    9.963015956    9.963015637    4.610430328
    2.293063063   10.096468531   10.096468211    4.618040894
    2.303072072   10.356554781   10.356554455    4.625750402
    2.313081081   10.690046300   10.690045966    4.633561233
    2.323090090   11.059033431   11.059033091    4.641475881
    2.333099099   11.434337211   11.434336873    4.649496962
    2.343108108   11.786870406   11.786870085    4.657627222
    2.353117117   12.078999077   12.078998802    4.665869551
    2.363126126   12.257938069   12.257937880    4.674226991
    2.373135135   12.258409878   12.258409823    4.682702752
    2.383144144   12.029374329   12.029374431    4.691300225
    2.393153153   11.590554847   11.590555064    4.700023001
    2.403162162   11.072324035   11.072324253    4.708874885
    2.413171171   10.660279775   10.660279880    4.717859923
    2.423180180   10.477482331   10.477482273    4.726982421
    2.433189189   10.537139998   10.537139792    4.736246972
    2.443198198   10.786886183   10.786885865    4.745658487
    2.453207207   11.164203110   11.164202714    4.755222229
    2.463216216   11.621529380   11.621528928    4.764943844
    2.473225225   12.128982360   12.128981866    4.774829407
    2.483234234   12.669435130   12.669434602    4.784885456
    2.493243243   13.232914622   13.232914066    4.795119038
    2.503252252   13.811883128   13.811882551    4.805537739
    2.513261261   14.396968347   14.396967761    4.816149703
    2.523270270   14.972273220   14.972272647    4.826963622
    2.533279279   15.509763910   15.509763387    4.837988650
    2.543288288   15.963944676   15.963944260    4.849234213
    2.553297297   16.272318927   16.272318685    4.860709578
    2.563306306   16.371979134   16.371979114    4.872423031
    2.573315315   16.234103954   16.234104145    4.884380324
    2.583324324   15.885637852   15.885638193    4.896581899
    2.593333333   15.386961615   15.386962061    4.909018111
    2.603342342   14.808929842   14.808930394    4.921661742
    2.613351351   14.248196399   14.248197053    4.934458252
    2.623360360   13.820262199   13.820262894    4.947318742
    2.633369369   13.605829011   13.605829634    4.960129287
    2.643378378   13.608898699   13.608899152    4.972790940
    2.653387387   13.747330636   13.747330904    4.985263713
    2.663396396   13.863070524   13.863070676    4.997531838
    2.673405405   13.761036905   13.761037042    5.009503543
    2.683414414   13.287100672   13.287100855    5.021055224
    2.693423423   12.419864411   12.419864628    5.032305554
    2.703432432   11.289865949   11.289866142    5.043788556
    2.713441441   10.085791627   10.085791757    5.056158188
    2.723450450    8.971833552    8.971833619    5.069687992
    2.733459459    8.082659465    8.082659486    5.084117805
    2.743468468    7.485159704    7.485159689    5.098862058
    2.753477477    7.123881801    7.123881751    5.113313732
    2.763486486    6.877397060    6.877396972    5.127188640
    2.773495495    6.684105330    6.684105219    5.140846260
    2.783504505    6.588267898    6.588267790    5.155215112
    2.793513514    6.653017589    6.653017504    5.171181222
    2.803522523    6.851244133    6.851244074    5.189077988
    2.813531532    7.059281992    7.059281958    5.208753912
    2.823540541    7.137660431    7.137660440    5.229900291
    2.833549550    7.009338422    7.009338523    5.252263074
    2.843558559    6.672575958    6.672576226    5.275697917
    2.853567568    6.158906169    6.158906680    5.300154089
    2.863576577    5.501319938    5.501320745    5.325644570
    2.873585586    4.723667524    4.723668638    5.352220959
    2.883594595    3.816720680    3.816722054    5.379954315
    2.893603604    2.749506638    2.749508160    5.408917857
    2.903612613    1.550348868    1.550350373    5.439165745
    2.913621622    0.349416587    0.349417939    5.470700145
    2.923630631   -0.690797449   -0.690796299    5.503414672
    2.933639640   -1.471147797   -1.471146832    5.536995011
    2.943648649   -1.978643840   -1.978643028    5.570747040
    2.953657658   -2.252749201   -2.252748518    5.603314617
    2.963666667   -2.361040005   -2.361039443    5.632269206
    2.973675676   -2.396409799   -2.396409369    5.653680590
    2.983684685   -2.458765030   -2.458764728    5.662165362
    2.993693694   -2.605749331   -2.605749116    5.652555763
    3.003702703   -2.810798930   -2.810798756    5.624154739
    3.013711712   -2.985032063   -2.985031919    5.585206650
    3.023720721   -3.041371292   -3.041371198    5.551058056
    3.033729730   -2.935861714   -2.935861679    5.534895313
    3.043738739   -2.680557188   -2.680557185    5.540748486
    3.053747748   -2.332538392   -2.332538378    5.564742589
    3.063756757   -1.957822795   -1.957822748    5.599767977
    3.073765766   -1.596518878   -1.596518815    5.638305042
    3.083774775   -1.259040086   -1.259040044    5.672938616
    3.093783784   -0.948485847   -0.948485846    5.696315786
    3.103792793   -0.668487522   -0.668487560    5.702264311
    3.113801802   -0.404559664   -0.404559735    5.688342151
    3.123810811   -0.120681770   -0.120681867    5.657529424
    3.133819820    0.208793893    0.208793786    5.617489226
    3.143828829    0.572364553    0.572364464    5.579496949
    3.153837838    0.928885417    0.928885376    5.555854850
    3.163846847    1.233619765    1.233619795    5.553616648
    3.173855856    1.462178266    1.462178364    5.570917805
    3.183864865    1.616298832    1.616298983    5.599971743
    3.193873874    1.705212026    1.705212224    5.632587069
    3.203882883    1.730717606    1.730717860    5.664546163
    3.213891892    1.699597357    1.699597682    5.697234966
    3.223900901    1.634804538    1.634804951    5.735088450
    3.233909910    1.559021379    1.559021909    5.780649437
    3.243918919    1.478315452    1.478316127    5.831621121
    3.253927928    1.394494091    1.394494899    5.881100557
    3.263936937    1.320732515    1.320733394    5.918966494
    3.273945946    1.278327445    1.278328281    5.933484245
    3.283954955    1.291397730    1.291398388    5.914653009
    3.293963964    1.382716875    1.382717268    5.861162906
    3.303972973    1.566126140    1.566126265    5.787742773
    3.313981982    1.841785981    1.841785900    5.721736256
    3.323990991    2.193987901    2.193987704    5.686104371
    3.334000000    2.592673686    2.592673469    5.686775450
    3.344009009    2.998598269    2.998598123    5.715978120
    3.354018018    3.366942140    3.366942148    5.761443765
    3.364027027    3.650243262    3.650243479    5.810491060
    3.374036036    3.807150703    3.807151118    5.849374711
    3.384045045    3.817833938    3.817834450    5.863445302
    3.394054054    3.695297983    3.695298441    5.841170300
    3.404063063    3.483062973    3.483063254    5.780363870
    3.414072072    3.245381585    3.245381661    5.692012384
    3.424081081    3.050408080    3.050407991    5.599215480
    3.434090090    2.932217844    2.932217648    5.529674020
    3.444099099    2.858014517    2.858014248    5.501783501
    3.454108108    2.747995610    2.747995281    5.515963218
    3.464117117    2.542497751    2.542497371    5.559293081
    3.474126126    2.268179342    2.268178937    5.615294716
    3.484135135    2.036793819    2.036793427    5.670660841
    3.494144144    1.959177058    1.959176705    5.717548536
    3.504153153    2.068514996    2.068514693    5.751462329
    3.514162162    2.325513036    2.325512780    5.767870540
    3.524171171    2.662863830    2.662863616    5.764436113
    3.534180180    3.017067366    3.017067189    5.747774283
    3.544189189    3.345671044    3.345670904    5.732703861
    3.554198198    3.639049006    3.639048905    5.730911416
    3.564207207    3.915398085    3.915398021    5.743482830
    3.574216216    4.188059212    4.188059178    5.764071589
    3.584225225    4.431424357    4.431424331    5.784472972
    3.594234234    4.579546948    4.579546899    5.798832885
    3.604243243    4.560061446    4.560061337    5.807058503
    3.614252252    4.351413511    4.351413317    5.814843206
    3.624261261    4.028056591    4.028056321    5.829798620
    3.634270270    3.727631045    3.727630739    5.855081360
    3.644279279    3.543687130    3.543686824    5.884014613
    3.654288288    3.455150725    3.455150413    5.901384846
    3.664297297    3.350624650    3.350624294    5.890209441
    3.674306306    3.097316080    3.097315625    5.838848337
    3.684315315    2.604993097    2.604992480    5.747682105
    3.694324324    1.869413893    1.869413078    5.631757698
    3.704333333    0.977066739    0.977065743    5.510079147
    3.714342342    0.053058930    0.053057796    5.389356122
    3.724351351   -0.801264926   -0.801266133    5.264200114
    3.734360360   -1.504656916   -1.504658078    5.133258644
    3.744369369   -1.975516943   -1.975517916    5.009907351
    3.754378378   -2.169907565   -2.169908260    4.915572438
    3.764387387   -2.117202371   -2.117202789    4.863863817
    3.774396396   -1.895330386   -1.895330584    4.853266626
    3.784405405   -1.582086179   -1.582086229    4.873235076
    3.794414414   -1.224666218   -1.224666194    4.912425708
    3.804423423   -0.837521328   -0.837521295    4.962217479
    3.814432432   -0.421017148   -0.421017140    5.017029639
    3.824441441    0.020270859    0.020270836    5.073789056
    3.834450450    0.473594415    0.473594371    5.131391954
    3.844459459    0.921876704    0.921876658    5.188926658
    3.854468468    1.346581686    1.346581652    5.244295551
    3.864477477    1.729688346    1.729688331    5.296596743
    3.874486486    2.058252272    2.058252263    5.349347283
    3.884495495    2.329248306    2.329248260    5.409103590
    3.894504505    2.543774802    2.543774660    5.480524158
    3.904513514    2.689783581    2.689783293    5.563276330
    3.914522523    2.736132381    2.736131922    5.652680837
    3.924531532    2.651729461    2.651728844    5.741723714
    3.934540541    2.432454689    2.432453970    5.822375817
    3.944549550    2.116385476    2.116384752    5.886596021
    3.954558559    1.779042476    1.779041847    5.928183796
    3.964567568    1.498218200    1.498217715    5.945160461
    3.974576577    1.312929737    1.312929384    5.941129825
    3.984585586    1.226354033    1.226353765    5.925323285
    3.994594595    1.238206880    1.238206642    5.911515827
    4.004603604    1.351845920    1.351845677    5.914281478
    4.014612613    1.554426135    1.554425880    5.942731912
    4.024621622    1.807859626    1.807859369    5.996340049
    4.034630631    2.061580450    2.061580213    6.065783800
    4.044639640    2.272904074    2.272903883    6.136282607
    4.054648649    2.422307694    2.422307572    6.190224233
    4.064657658    2.512938073    2.512938042    6.209791231
    4.074666667    2.555305667    2.555305745    6.183066035
    4.084675676    2.555847412    2.555847600    6.113358527
    4.094684685    2.517762759    2.517763030    6.021359164
    4.104693694    2.444029657    2.444029949    5.931542463
    4.114702703    2.337501116    2.337501343    5.857929185
    4.124711712    2.205131759    2.205131852    5.807227218
    4.134720721    2.066964822    2.066964780    5.787224649
    4.144729730    1.961227064    1.961226950    5.803374682
    4.154738739    1.933294888    1.933294783    5.851854441
    4.164747748    2.009017968    2.009017943    5.921019259
    4.174756757    2.176361679    2.176361774    5.997800526
    4.184765766    2.393225476    2.393225682    6.073168862
    4.194774775    2.611937102    2.611937340    6.145277075
    4.204783784    2.797365603    2.797365751    6.218749293
    4.214792793    2.923859147    2.923859109    6.299786327
    4.224801802    2.959774518    2.959774260    6.391525751
    4.234810811    2.864385891    2.864385410    6.493137389
    4.244819820    2.613115852    2.613115153    6.601508635
    4.254828829    2.231205331    2.231204442    6.713338288
    4.264837838    1.793347893    1.793346887    6.826352741
    4.274846847    1.395427322    1.395426333    6.939037510
    4.284855856    1.130716692    1.130715861    7.049326035
    4.294864865    1.059820135    1.059819540    7.153889767
    4.304873874    1.181058110    1.181057749    7.248938107
    4.314882883    1.435229909    1.435229755    7.332087897
    4.324891892    1.734100417    1.734100456    7.405213028
    4.334900901    1.982331986    1.982332229    7.476777831
    4.344909910    2.092601670    2.092602118    7.558901229
    4.354918919    2.011321669    2.011322244    7.659811437
    4.364927928    1.749077160    1.749077673    7.779829962
    4.374936937    1.368751665    1.368751882    7.913119610
    4.384945946    0.917646254    0.917646042    8.051182696
    4.394954955    0.389773095    0.389772501    8.185904150
    4.404963964   -0.222424634   -0.222425400    8.311155076
    4.414972973   -0.859886358   -0.859887036    8.421635178
    4.424981982   -1.405762965   -1.405763398    8.510458256
    4.434990991   -1.761167107   -1.761167302    8.569513993
    4.445000000   -1.901731854   -1.901731901    8.592988372
    4.455009009   -1.866422720   -1.866422704    8.581349306
    4.465018018   -1.710044790   -1.710044767    8.545137130
    4.475027027   -1.475287951   -1.475287949    8.504040887
    4.485036036   -1.198997766   -1.198997777    8.473640700
    4.495045045   -0.923872662   -0.923872653    8.450534512
    4.505054054   -0.694131644   -0.694131572    8.413670377
    4.515063063   -0.539160497   -0.539160339    8.339838617
    4.525072072   -0.456810739   -0.456810513    8.221753883
    4.535081081   -0.409341553   -0.409341307    8.079987190
    4.545090090   -0.343140582   -0.343140347    7.956734477
    4.555099099   -0.222598138   -0.222597903    7.885762429
    4.565108108   -0.044732866   -0.044732611    7.864868396
    4.575117117    0.175750357    0.175750624    7.859508066
    4.585126126    0.422882017    0.422882272    7.826322669
    4.595135135    0.678799469    0.678799707    7.732791426
    4.605144144    0.919596027    0.919596259    7.570508647
    4.615153153    1.120323958    1.120324174    7.366961351
    4.625162162    1.258988266    1.258988423    7.180762614
    4.635171171    1.309801758    1.309801824    7.069056535
    4.645180180    1.242903987    1.242903967    7.055623988
    4.655189189    1.050180117    1.050180047    7.127813181
    4.665198198    0.773713608    0.773713521    7.251554164
    4.675207207    0.495155259    0.495155163    7.386408131
    4.685216216    0.292845120    0.292844989    7.497383156
    4.695225225    0.204611210    0.204611005    7.565107339
    4.705234234    0.216972336    0.216972029    7.593531680
    4.715243243    0.287366791    0.287366379    7.606647942
    4.725252252    0.381808900    0.381808416    7.628302597
    4.735261261    0.492254792    0.492254282    7.661519726
    4.745270270    0.619061864    0.619061354    7.689462859
    4.755279279    0.746423350    0.746422829    7.691131675
    4.765288288    0.842875017    0.842874466    7.654645908
    4.775297297    0.885654138    0.885653569    7.588136554
    4.785306306    0.883091258    0.883090730    7.524651337
    4.795315315    0.865220591    0.865220175    7.502695802
    4.805324324    0.852227350    0.852227068    7.533739903
    4.815333333    0.844383808    0.844383632    7.598050322
    4.825342342    0.832690822    0.832690708    7.671384814
    4.835351351    0.799672793    0.799672716    7.749318212
    4.845360360    0.719771195    0.719771160    7.847466870
    4.855369369    0.577855655    0.577855668    7.979584083
    4.865378378    0.387299838    0.387299891    8.137136500
    4.875387387    0.178580869    0.178580939    8.293302899
    4.885396396   -0.029863287   -0.029863236    8.423567336
    4.895405405   -0.236498162   -0.236498173    8.518809612
    4.905414414   -0.434635603   -0.434635699    8.581410447
    4.915423423   -0.595314747   -0.595314903    8.613101641
    4.925432432   -0.678610830   -0.678610978    8.606568344
    4.935441441   -0.670091891   -0.670091947    8.549753646
    4.945450450   -0.601710245   -0.601710128    8.442923026
    4.955459459   -0.532786416   -0.532786071    8.306283422
    4.965468468   -0.510647429   -0.510646871    8.164853539
    4.975477477   -0.538075432   -0.538074780    8.036519607
    4.985486486   -0.573475120   -0.573474555    7.931184889
    4.995495495   -0.570923733   -0.570923386    7.847796324
    5.005504505   -0.521397071   -0.521396969    7.775650075
    5.015513514   -0.455000435   -0.455000536    7.699372433
    5.025522523   -0.408998769   -0.408999005    7.604760170
    5.035531532   -0.391193294   -0.391193590    7.486252115
    5.045540541   -0.371483276   -0.371483557    7.343858234
    5.055549550   -0.312949023   -0.312949233    7.170709077
    5.065558559   -0.205804942   -0.205805049    6.961304177
    5.075567568   -0.069110912   -0.069110909    6.745165756
    5.085576577    0.069114273    0.069114358    6.589278514
    5.095585586    0.190534252    0.190534356    6.541370323
    5.105594595    0.291302583    0.291302643    6.581482408
    5.115603604    0.370142145    0.370142123    6.634231699
    5.125612613    0.411331227    0.411331117    6.612870408
    5.135621622    0.383269453    0.383269265    6.462912246
    5.145630631    0.257516845    0.257516585    6.195518212
    5.155639640    0.031725393    0.031725066    5.884507291
    5.165648649   -0.258020781   -0.258021152    5.610804282
    5.175657658   -0.541108956   -0.541109330    5.410151498
    5.185666667   -0.740667725   -0.740668064    5.286102315
    5.195675676   -0.817139020   -0.817139308    5.249702400
    5.205684685   -0.788315209   -0.788315443    5.318756843
    5.215693694   -0.710456652   -0.710456827    5.486795416
    5.225702703   -0.643654870   -0.643654984    5.712890186
    5.235711712   -0.620420750   -0.620420811    5.946554112
    5.245720721   -0.626810676   -0.626810720    6.156580247
    5.255729730   -0.612724544   -0.612724617    6.332099831
    5.265738739   -0.532428620   -0.532428746    6.466010548
    5.275747748   -0.377522259   -0.377522431    6.549735021
    5.285756757   -0.175208585   -0.175208770    6.577043236
    5.295765766    0.030318795    0.030318640    6.551877591
    5.305774775    0.192308129    0.192308045    6.507801877
    5.315783784    0.270981892    0.270981903    6.510276484
    5.325792793    0.240836754    0.240836865    6.615742611
    5.335801802    0.092737353    0.092737556    6.828994654
    5.345810811   -0.164255962   -0.164255688    7.094804718
    5.355819820   -0.495989525   -0.495989229    7.314417399
    5.365828829   -0.846017018   -0.846016769    7.379139183
    5.375837838   -1.154594965   -1.154594796    7.217324193
    5.385846847   -1.379889362   -1.379889244    6.827054221
    5.395855856   -1.506654779   -1.506654666    6.257709273
    5.405864865   -1.536941811   -1.536941711    5.564539285
    5.415873874   -1.477625879   -1.477625840    4.801327498
    5.425882883   -1.340835416   -1.340835470    4.045277919
    5.435891892   -1.147779886   -1.147780031    3.390478788
    5.445900901   -0.923768983   -0.923769197    2.888497849
