# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    1.992792793    4.260895710    4.260895710    0.027130159
    2.002801802    3.988524326    3.988524432    0.027418892
    2.012810811    3.568504285    3.568504440    0.027711942
    2.022819820    3.118518188    3.118518346    0.028009431
    2.032828829    2.712712771    2.712712907    0.028311486
    2.042837838    2.379080415    2.379080523    0.028618238
    2.052846847    2.118918797    2.118918878    0.028929825
    2.062855856    1.923141214    1.923141273    0.029246390
    2.072864865    1.780749657    1.780749699    0.029568084
    2.082873874    1.682146654    1.682146682    0.029895063
    2.092882883    1.620030477    1.620030494    0.030227491
    2.102891892    1.589389187    1.589389196    0.030565539
    2.112900901    1.587262948    1.587262950    0.030909387
    2.122909910    1.612533148    1.612533144    0.031259225
    2.132918919    1.665827283    1.665827275    0.031615249
    2.142927928    1.749566117    1.749566106    0.031977668
    2.152936937    1.868154859    1.868154844    0.032346700
    2.162945946    2.028292024    2.028292007    0.032722575
    2.172954955    2.239294016    2.239293996    0.033105536
    2.182963964    2.513128760    2.513128739    0.033495839
    2.192972973    2.863358417    2.863358395    0.033893754
    2.202981982    3.301180373    3.301180349    0.034299566
    2.212990991    3.825303092    3.825303065    0.034713579
    2.223000000    4.402546471    4.402546434    0.035136114
    2.233009009    4.945003955    4.945003900    0.035567511
    2.243018018    5.314066063    5.314065978    0.036008133
    2.253027027    5.390105751    5.390105633    0.036458367
    2.263036036    5.169165914    5.169165767    0.036918624
    2.273045045    4.768489894    4.768489729    0.037389347
    2.283054054    4.333335888    4.333335711    0.037871008
    2.293063063    3.962145370    3.962145182    0.038364114
    2.303072072    3.698552375    3.698552170    0.038869211
    2.313081081    3.554012933    3.554012704    0.039386890
    2.323090090    3.528375864    3.528375600    0.039917788
    2.333099099    3.620751563    3.620751252    0.040462596
    2.343108108    3.832671146    3.832670775    0.041022067
    2.353117117    4.164995372    4.164994934    0.041597023
    2.363126126    4.607139963    4.607139465    0.042188365
    2.373135135    5.116619381    5.116618860    0.042797081
    2.383144144    5.596443735    5.596443273    0.043424266
    2.393153153    5.902841405    5.902841101    0.044071131
    2.403162162    5.919640792    5.919640693    0.044739028
    2.413171171    5.651550402    5.651550467    0.045429471
    2.423180180    5.219395705    5.219395841    0.046144165
    2.433189189    4.763908271    4.763908397    0.046885043
    2.443198198    4.375969138    4.375969211    0.047654312
    2.453207207    4.092514630    4.092514635    0.048454507
    2.463216216    3.919544594    3.919544528    0.049288565
    2.473225225    3.851870569    3.851870431    0.050159914
    2.483234234    3.883707186    3.883706974    0.051072597
    2.493243243    4.013194637    4.013194343    0.052031423
    2.503252252    4.244048429    4.244048041    0.053042172
    2.513261261    4.585899991    4.585899494    0.054111868
    2.523270270    5.053441574    5.053440947    0.055249141
    2.533279279    5.663119773    5.663118999    0.056464711
    2.543288288    6.424756698    6.424755774    0.057772048
    2.553297297    7.325870634    7.325869592    0.059188234
    2.563306306    8.313999463    8.313998378    0.060735095
    2.573315315    9.298119222    9.298118189    0.062440563
    2.583324324   10.184896701   10.184895771    0.064340109
    2.593333333   10.912286451   10.912285621    0.066477569
    2.603342342   11.440199284   11.440198557    0.068903684
    2.613351351   11.749550503   11.749549927    0.071668820
    2.623360360   11.880647219   11.880646854    0.074804993
    2.633369369   11.945562087   11.945561939    0.078297617
    2.643378378   12.091750441   12.091750430    0.082069270
    2.653387387   12.454932027   12.454932027    0.086016913
    2.663396396   13.111557079   13.111556997    0.090078054
    2.673405405   14.031624714   14.031624539    0.094186185
    2.683414414   15.057993561   15.057993353    0.098098517
    2.693423423   15.957074840   15.957074667    0.101377296
    2.703432432   16.541520015   16.541519899    0.103732243
    2.713441441   16.749191778   16.749191689    0.105392529
    2.723450450   16.609053659   16.609053559    0.107001128
    2.733459459   16.211744483   16.211744351    0.109164288
    2.743468468   15.715580948   15.715580784    0.112117929
    2.753477477   15.274043367   15.274043166    0.115610701
    2.763486486   14.931985709   14.931985456    0.118948663
    2.773495495   14.633087375   14.633087046    0.121326471
    2.783504505   14.336735404   14.336734991    0.122417733
    2.793513514   14.104885469   14.104884980    0.122649499
    2.803522523   14.057871645   14.057871087    0.122815568
    2.813531532   14.266123730   14.266123089    0.123562094
    2.823540541   14.697121159   14.697120406    0.125226590
    2.833549550   15.248879837   15.248878948    0.127932244
    2.843558559   15.821665309   15.821664291    0.131715821
    2.853567568   16.354799586   16.354798486    0.136608585
    2.863576577   16.817041555   16.817040463    0.142676339
    2.873585586   17.199223651   17.199222685    0.150039457
    2.883594595   17.497473513   17.497472798    0.158887182
    2.893603604   17.657953792   17.657953429    0.169493735
    2.903612613   17.568791873   17.568791884    0.182240216
    2.913621622   17.149841520   17.149841825    0.197644342
    2.923630631   16.432329091   16.432329573    0.216397790
    2.933639640   15.535053058   15.535053630    0.239405167
    2.943648649   14.588104005   14.588104623    0.267803339
    2.953657658   13.691498552   13.691499198    0.302902783
    2.963666667   12.914576982   12.914577652    0.345914700
    2.973675676   12.289698124   12.289698800    0.397206968
    2.983684685   11.789333021   11.789333661    0.454798530
    2.993693694   11.323365543   11.323366114    0.512366753
    3.003702703   10.789385587   10.789386097    0.558858106
    3.013711712   10.142067840   10.142068321    0.583120206
    3.023720721    9.410284689    9.410285149    0.582258951
    3.033729730    8.667901029    8.667901443    0.564675226
    3.043738739    7.996501419    7.996501760    0.543824799
    3.053747748    7.447520133    7.447520407    0.530714661
    3.063756757    7.023475219    7.023475465    0.531522185
    3.073765766    6.694289672    6.694289928    0.548701457
    3.083774775    6.430347417    6.430347689    0.582151105
    3.093783784    6.214231229    6.214231494    0.629062050
    3.103792793    6.025157560    6.025157797    0.683042881
    3.113801802    5.837068778    5.837068973    0.734528460
    3.123810811    5.646022895    5.646023035    0.773567553
    3.133819820    5.484143393    5.484143462    0.792656409
    3.143828829    5.394671029    5.394671017    0.788670290
    3.153837838    5.399459188    5.399459106    0.765800875
    3.163846847    5.487007924    5.487007798    0.735372059
    3.173855856    5.622830697    5.622830556    0.709512309
    3.183864865    5.774208314    5.774208171    0.695011754
    3.193873874    5.924766498    5.924766346    0.691876107
    3.203882883    6.061345975    6.061345810    0.695614614
    3.213891892    6.162040677    6.162040503    0.701842655
    3.223900901    6.211050112    6.211049937    0.710657251
    3.233909910    6.212246193    6.212246036    0.727109540
    3.243918919    6.173843349    6.173843264    0.757954686
    3.253927928    6.091258326    6.091258393    0.808208022
    3.263936937    5.955487883    5.955488181    0.879028015
    3.273945946    5.764938741    5.764939310    0.965803591
    3.283954955    5.527464916    5.527465717    1.055891372
    3.293963964    5.263028487    5.263029402    1.128745948
    3.303972973    5.002791827    5.002792720    1.164105441
    3.313981982    4.783743622    4.783744389    1.156806577
    3.323990991    4.642315646    4.642316230    1.122128835
    3.334000000    4.606833317    4.606833703    1.083764888
    3.344009009    4.693146786    4.693146994    1.059928386
    3.354018018    4.903147794    4.903147881    1.060199419
    3.364027027    5.220932598    5.220932668    1.088714011
    3.374036036    5.607665633    5.607665819    1.145529470
    3.384045045    6.004222650    6.004223063    1.224418920
    3.394054054    6.346856152    6.346856813    1.310647469
    3.404063063    6.586497002    6.586497828    1.382943604
    3.414072072    6.702692630    6.702693499    1.420247954
    3.424081081    6.718272419    6.718273246    1.410359349
    3.434090090    6.700601242    6.700601998    1.357902239
    3.444099099    6.719325032    6.719325719    1.284242382
    3.454108108    6.785996161    6.785996780    1.215159922
    3.464117117    6.831880412    6.831880951    1.168176380
    3.474126126    6.753402614    6.753403058    1.149179375
    3.484135135    6.503978398    6.503978749    1.155529925
    3.494144144    6.141053152    6.141053434    1.181181353
    3.504153153    5.775147484    5.775147722    1.220609983
    3.514162162    5.495551573    5.495551790    1.267697810
    3.524171171    5.343248683    5.343248891    1.311855260
    3.534180180    5.317922263    5.317922470    1.340870493
    3.544189189    5.391425634    5.391425847    1.351166120
    3.554198198    5.527340154    5.527340382    1.351391384
    3.564207207    5.710203454    5.710203714    1.353889401
    3.574216216    5.961338153    5.961338464    1.366389604
    3.584225225    6.316959193    6.316959573    1.390148362
    3.594234234    6.785483522    6.785483977    1.420806074
    3.604243243    7.315636395    7.315636916    1.451660248
    3.614252252    7.799188566    7.799189117    1.478935991
    3.624261261    8.131763999    8.131764534    1.505719035
    3.634270270    8.303078255    8.303078755    1.542279696
    3.644279279    8.416155111    8.416155603    1.600495721
    3.654288288    8.605130320    8.605130847    1.685511200
    3.664297297    8.943214751    8.943215342    1.791509076
    3.674306306    9.406876910    9.406877568    1.902429630
    3.684315315    9.888625109    9.888625798    1.996552046
    3.694324324   10.242160172   10.242160812    2.057715062
    3.704333333   10.349855360   10.349855865    2.086149538
    3.714342342   10.172701565   10.172701868    2.092304698
    3.724351351    9.730159043    9.730159079    2.079143365
    3.734360360    9.056549090    9.056548816    2.036604776
    3.744369369    8.216229737    8.216229194    1.954056755
    3.754378378    7.321397839    7.321397153    1.835009880
    3.764387387    6.487265460    6.487264764    1.697797966
    3.774396396    5.779620228    5.779619616    1.562914696
    3.784405405    5.206809795    5.206809317    1.442832449
    3.794414414    4.744703688    4.744703358    1.341621839
    3.804423423    4.368493437    4.368493237    1.258520513
    3.814432432    4.070149032    4.070148921    1.190799167
    3.824441441    3.854269726    3.854269666    1.135229810
    3.834450450    3.726722186    3.726722154    1.089290470
    3.844459459    3.689261658    3.689261645    1.051860756
    3.854468468    3.738682522    3.738682536    1.021240702
    3.864477477    3.865755889    3.865755953    0.993142979
    3.874486486    4.055016559    4.055016703    0.963168138
    3.884495495    4.291106361    4.291106608    0.931423147
    3.894504505    4.569645679    4.569646020    0.903426646
    3.904513514    4.895090060    4.895090451    0.886729534
    3.914522523    5.259104266    5.259104638    0.887326310
    3.924531532    5.622832895    5.622833166    0.908251973
    3.934540541    5.922764366    5.922764463    0.949367760
    3.944549550    6.094641890    6.094641783    1.006896802
    3.954558559    6.106250125    6.106249849    1.073044150
    3.964567568    5.979535029    5.979534669    1.137068028
    3.974576577    5.769190180    5.769189817    1.187792462
    3.984585586    5.519871711    5.519871393    1.216423603
    3.994594595    5.258876863    5.258876596    1.219765563
    4.004603604    5.018656356    5.018656115    1.203323094
    4.014612613    4.841822346    4.841822101    1.180845160
    4.024621622    4.761677129    4.761676853    1.169001751
    4.034630631    4.785035535    4.785035215    1.181349935
    4.044639640    4.890758591    4.890758227    1.225234661
    4.054648649    5.043100183    5.043099784    1.300566132
    4.064657658    5.211880605    5.211880192    1.397834167
    4.074666667    5.381803730    5.381803335    1.496366132
    4.084675676    5.545639736    5.545639408    1.569192881
    4.094684685    5.696273569    5.696273361    1.597538137
    4.104693694    5.825638867    5.825638817    1.581151960
    4.114702703    5.923356561    5.923356662    1.530126322
    4.124711712    5.973424597    5.973424779    1.452418281
    4.134720721    5.957192648    5.957192813    1.355733753
    4.144729730    5.866981784    5.866981865    1.253741495
    4.154738739    5.723886043    5.723886028    1.162055983
    4.164747748    5.579358725    5.579358651    1.090239884
    4.174756757    5.491955626    5.491955566    1.038969319
    4.184765766    5.499258411    5.499258462    1.001882589
    4.194774775    5.608356772    5.608357013    0.970017424
    4.204783784    5.808450091    5.808450533    0.937516562
    4.214792793    6.088037813    6.088038389    0.904655377
    4.224801802    6.434799944    6.434800565    0.875860667
    4.234810811    6.815856453    6.815857044    0.855904162
    4.244819820    7.162470678    7.162471169    0.847597578
    4.254828829    7.390105588    7.390105892    0.851539889
    4.264837838    7.440935788    7.440935818    0.867231091
    4.274846847    7.304763391    7.304763103    0.894438308
    4.284855856    7.022759166    7.022758608    0.933403344
    4.294864865    6.685925792    6.685925076    0.983560108
    4.304873874    6.405406702    6.405405934    1.042059730
    4.314882883    6.269049706    6.269048945    1.103066513
    4.324891892    6.321048504    6.321047782    1.158483689
    4.334900901    6.561702958    6.561702320    1.202049329
    4.344909910    6.946688556    6.946688097    1.235248084
    4.354918919    7.388558776    7.388558623    1.267787106
    4.364927928    7.787233294    7.787233522    1.311796722
    4.374936937    8.088100637    8.088101165    1.376598576
    4.384945946    8.297554758    8.297555354    1.466850077
    4.394954955    8.420145450    8.420145846    1.583033759
    4.404963964    8.405084861    8.405084882    1.723663377
    4.414972973    8.181733611    8.181733269    1.887479134
    4.424981982    7.739086046    7.739085509    2.072610138
    4.434990991    7.152485202    7.152484653    2.273408015
    4.445000000    6.533826556    6.533826089    2.478984988
    4.455009009    5.967435161    5.967434788    2.674655039
    4.465018018    5.490824504    5.490824203    2.846523637
    4.475027027    5.116897806    5.116897536    2.991515078
    4.485036036    4.854038717    4.854038435    3.124061499
    4.495045045    4.702314749    4.702314432    3.265759122
    4.505054054    4.641239883    4.641239541    3.426399788
    4.515063063    4.626834724    4.626834399    3.593877980
    4.525072072    4.603872339    4.603872079    3.738221303
    4.535081081    4.531242177    4.531241998    3.828948199
    4.545090090    4.405760888    4.405760763    3.860759612
    4.555099099    4.259748977    4.259748879    3.865068964
    4.565108108    4.132223904    4.132223840    3.888466429
    4.575117117    4.047800572    4.047800567    3.959871142
    4.585126126    4.020243142    4.020243196    4.076758167
    4.595135135    4.060764876    4.060764972    4.209420446
    4.605144144    4.174820215    4.174820358    4.310190630
    4.615153153    4.357757363    4.357757577    4.330863418
    4.625162162    4.599393799    4.599394088    4.252505858
    4.635171171    4.884915749    4.884916078    4.101993072
    4.645180180    5.179498202    5.179498523    3.933771551
    4.655189189    5.418655604    5.418655894    3.799003067
    4.665198198    5.534885394    5.534885664    3.728794501
    4.675207207    5.502115579    5.502115861    3.730696866
    4.685216216    5.351829891    5.351830210    3.790847597
    4.695225225    5.152679929    5.152680280    3.879893614
    4.705234234    4.971382482    4.971382831    3.965298294
    4.715243243    4.839643430    4.839643728    4.029939495
    4.725252252    4.753283154    4.753283362    4.082528046
    4.735261261    4.701317994    4.701318106    4.144889528
    4.745270270    4.689655147    4.689655187    4.229368459
    4.755279279    4.732510831    4.732510819    4.329519924
    4.765288288    4.827529532    4.827529452    4.422967163
    4.775297297    4.945693273    4.945693081    4.479654063
    4.785306306    5.050880921    5.050880593    4.481576028
    4.795315315    5.131063239    5.131062807    4.443742497
    4.805324324    5.200775656    5.200775192    4.404157847
    4.815333333    5.278005820    5.278005382    4.389460045
    4.825342342    5.374851361    5.374850964    4.397944299
    4.835351351    5.498600357    5.498599986    4.413211192
    4.845360360    5.641045371    5.641045015    4.429750741
    4.855369369    5.771713120    5.771712792    4.465066954
    4.865378378    5.856318677    5.856318399    4.545371043
    4.875387387    5.883631167    5.883630951    4.682031469
    4.885396396    5.863263132    5.863262983    4.865259714
    4.895405405    5.799468185    5.799468081    5.076995100
    4.905414414    5.681064804    5.681064684    5.305481401
