 &plot nbnd=  20, nks=   121 /
            0.000000  0.000000  0.000000
  -61.066  -35.363  -35.192  -35.158  -12.280  -12.153   -5.455   -5.345   -4.123   -3.300
   -2.837   -2.120   -0.485    1.838    2.922    3.162    4.285    6.431    8.616    8.999
            0.400000  0.461880  0.000000
  -61.066  -35.360  -35.198  -35.157  -12.270  -12.147   -5.413   -5.369   -4.116   -3.286
   -2.928   -2.133   -0.468    1.810    2.956    3.125    4.322    6.467    8.520    9.024
            0.395833  0.469097  0.000000
  -61.066  -35.356  -35.203  -35.157  -12.260  -12.141   -5.393   -5.370   -4.109   -3.272
   -3.017   -2.147   -0.451    1.781    2.990    3.089    4.358    6.504    8.422    9.049
            0.391667  0.476314  0.000000
  -61.066  -35.353  -35.209  -35.157  -12.250  -12.135   -5.416   -5.326   -4.103   -3.257
   -3.105   -2.162   -0.433    1.751    3.024    3.056    4.392    6.542    8.324    9.075
            0.387500  0.483531  0.000000
  -61.065  -35.349  -35.215  -35.156  -12.240  -12.129   -5.438   -5.281   -4.098   -3.241
   -3.190   -2.178   -0.415    1.721    3.026    3.057    4.425    6.581    8.227    9.101
            0.383333  0.490748  0.000000
  -61.065  -35.346  -35.220  -35.156  -12.231  -12.124   -5.459   -5.235   -4.095   -3.273
   -3.224   -2.195   -0.396    1.691    2.998    3.090    4.456    6.620    8.131    9.128
            0.379167  0.497965  0.000000
  -61.065  -35.342  -35.226  -35.156  -12.222  -12.119   -5.480   -5.188   -4.093   -3.352
   -3.207   -2.212   -0.376    1.660    2.973    3.121    4.486    6.659    8.037    9.155
            0.375000  0.505181  0.000000
  -61.065  -35.339  -35.231  -35.155  -12.213  -12.114   -5.499   -5.141   -4.095   -3.427
   -3.190   -2.230   -0.357    1.631    2.950    3.152    4.513    6.699    7.946    9.181
            0.370833  0.512398  0.000000
  -61.065  -35.335  -35.237  -35.155  -12.205  -12.109   -5.516   -5.094   -4.099   -3.496
   -3.173   -2.249   -0.338    1.602    2.930    3.181    4.538    6.738    7.858    9.208
            0.366667  0.519615  0.000000
  -61.065  -35.331  -35.242  -35.155  -12.197  -12.105   -5.533   -5.047   -4.108   -3.559
